Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,10-2-2020,Northeast,New York,New York,Men's Apparel,60.00,875.00,525000.00,157500.00,0.30,Outlet
Foot Locker,1185732,3-3-2020,Northeast,New York,New York,Women's Apparel,65.00,1000.00,650000.00,162500.00,0.25,Outlet
Foot Locker,1185732,4-3-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1250.00,750000.00,375000.00,0.50,Outlet
Foot Locker,1185732,5-3-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000.00,550000.00,165000.00,0.30,Outlet
Foot Locker,1185732,6-3-2020,Northeast,New York,New York,Women's Street Footwear,50.00,925.00,462500.00,161875.00,0.35,Outlet
Foot Locker,1185732,7-3-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900.00,450000.00,157500.00,0.35,Outlet
Foot Locker,1185732,8-3-2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,0.30,Outlet
Foot Locker,1185732,9-3-2020,Northeast,New York,New York,Women's Apparel,65.00,1050.00,682500.00,170625.00,0.25,Outlet
Foot Locker,1185732,10-3-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1275.00,765000.00,382500.00,0.50,Outlet
Foot Locker,1185732,11-3-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025.00,563750.00,169125.00,0.30,Outlet
Foot Locker,1185732,12-3-2020,Northeast,New York,New York,Women's Street Footwear,50.00,950.00,475000.00,166250.00,0.35,Outlet
Foot Locker,1185732,3-13-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900.00,450000.00,157500.00,0.35,Outlet
Foot Locker,1185732,3-14-2020,Northeast,New York,New York,Men's Apparel,60.00,925.00,555000.00,166500.00,0.30,Outlet
Foot Locker,1185732,3-15-2020,Northeast,New York,New York,Women's Apparel,65.00,1100.00,715000.00,178750.00,0.25,Outlet
Foot Locker,1185732,3-16-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1250.00,750000.00,375000.00,0.50,Outlet
Foot Locker,1185732,3-17-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025.00,563750.00,169125.00,0.30,Outlet
Foot Locker,1185732,3-18-2020,Northeast,New York,New York,Women's Street Footwear,50.00,950.00,475000.00,166250.00,0.35,Outlet
Foot Locker,1185732,3-31-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,925.00,462500.00,161875.00,0.35,Outlet
Walmart,1185732,4-17-2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,0.30,Outlet
Walmart,1185732,4-18-2020,Northeast,New York,New York,Women's Apparel,65.00,1075.00,698750.00,174688.00,0.25,Outlet
Walmart,1185732,4-19-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1200.00,720000.00,360000.00,0.50,Outlet
Walmart,1185732,4-20-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000.00,550000.00,165000.00,0.30,Outlet
Walmart,1185732,4-21-2020,Northeast,New York,New York,Women's Street Footwear,50.00,925.00,462500.00,161875.00,0.35,Outlet
Walmart,1185732,4-22-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900.00,450000.00,157500.00,0.35,Outlet
Walmart,1185732,4-23-2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,0.30,Outlet
Walmart,1185732,4-24-2020,Northeast,New York,New York,Women's Apparel,65.00,1000.00,650000.00,162500.00,0.25,Outlet
Walmart,1185732,4-25-2020,Northeast,New York,New York,Men's Apparel,65.00,875.00,568750.00,170625.00,0.30,Outlet
Walmart,1185732,4-26-2020,Northeast,New York,New York,Women's Apparel,70.00,1000.00,700000.00,175000.00,0.25,Outlet
Walmart,1185732,4-27-2020,Northeast,New York,New York,Men's Street Footwear,65.00,1150.00,747500.00,373750.00,0.50,Outlet
Walmart,1185732,4-28-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,975.00,536250.00,160875.00,0.30,Outlet
Walmart,1185732,4-29-2020,Northeast,New York,New York,Women's Street Footwear,55.00,920.00,506000.00,177100.00,0.35,Outlet
Walmart,1185732,4-30-2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900.00,495000.00,173250.00,0.35,Outlet
Walmart,1185732,1-5-2020,Northeast,New York,New York,Men's Apparel,65.00,875.00,568750.00,170625.00,0.30,Outlet
Walmart,1185732,2-5-2020,Northeast,New York,New York,Women's Apparel,70.00,975.00,682500.00,170625.00,0.25,Outlet
Walmart,1185732,3-5-2020,Northeast,New York,New York,Men's Street Footwear,65.00,1200.00,780000.00,390000.00,0.50,Outlet
Walmart,1185732,4-5-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000.00,550000.00,165000.00,0.30,Outlet
Walmart,1185732,5-5-2020,Northeast,New York,New York,Women's Street Footwear,55.00,950.00,522500.00,182875.00,0.35,Outlet
Walmart,1185732,6-5-2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900.00,495000.00,173250.00,0.35,Outlet
Walmart,1185732,7-5-2020,Northeast,New York,New York,Men's Apparel,65.00,900.00,585000.00,175500.00,0.30,Outlet
Walmart,1185732,7-18-2020,Northeast,New York,New York,Women's Apparel,70.00,1000.00,700000.00,175000.00,0.25,Outlet
Sports Direct,1197831,7-19-2020,Northeast,New York,New York,Men's Street Footwear,25.00,900.00,225000.00,78750.00,0.35,Outlet
Sports Direct,1197831,7-20-2020,Northeast,New York,New York,Men's Athletic Footwear,35.00,900.00,315000.00,110250.00,0.35,Outlet
Sports Direct,1197831,7-21-2020,Northeast,New York,New York,Women's Street Footwear,35.00,700.00,245000.00,85750.00,0.35,Outlet
Sports Direct,1197831,7-22-2020,Northeast,New York,New York,Women's Athletic Footwear,35.00,700.00,245000.00,110250.00,0.45,Outlet
Sports Direct,1197831,7-23-2020,South,Texas,Houston,Men's Apparel,40.00,550.00,220000.00,66000.00,0.30,Outlet
Sports Direct,1197831,7-24-2020,South,Texas,Houston,Women's Apparel,35.00,700.00,245000.00,122500.00,0.50,Outlet
Sports Direct,1197831,7-25-2020,South,Texas,Houston,Men's Street Footwear,25.00,850.00,212500.00,74375.00,0.35,Outlet
Sports Direct,1197831,7-26-2020,South,Texas,Houston,Men's Athletic Footwear,35.00,850.00,297500.00,104125.00,0.35,Outlet
Sports Direct,1197831,7-27-2020,South,Texas,Houston,Women's Street Footwear,35.00,675.00,236250.00,82688.00,0.35,Outlet
Sports Direct,1197831,7-28-2020,South,Texas,Houston,Women's Athletic Footwear,35.00,625.00,218750.00,98438.00,0.45,Outlet
Sports Direct,1197831,7-29-2020,South,Texas,Houston,Men's Apparel,40.00,500.00,200000.00,60000.00,0.30,Outlet
Sports Direct,1197831,7-30-2020,South,Texas,Houston,Women's Apparel,35.00,700.00,245000.00,122500.00,0.50,Outlet
Sports Direct,1197831,7-31-2020,South,Texas,Houston,Men's Street Footwear,30.00,875.00,262500.00,91875.00,0.35,Outlet
Sports Direct,1197831,1-8-2020,South,Texas,Houston,Men's Athletic Footwear,40.00,875.00,350000.00,122500.00,0.35,Outlet
Sports Direct,1197831,2-8-2020,South,Texas,Houston,Women's Street Footwear,35.00,700.00,245000.00,85750.00,0.35,Outlet
Sports Direct,1197831,3-8-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,600.00,240000.00,108000.00,0.45,Outlet
Sports Direct,1197831,4-8-2020,South,Texas,Houston,Men's Apparel,45.00,500.00,225000.00,67500.00,0.30,Outlet
Sports Direct,1197831,5-8-2020,South,Texas,Houston,Women's Apparel,40.00,650.00,260000.00,130000.00,0.50,Outlet
Sports Direct,1197831,6-8-2020,South,Texas,Houston,Men's Street Footwear,30.00,900.00,270000.00,94500.00,0.35,Outlet
Sports Direct,1197831,7-8-2020,South,Texas,Houston,Men's Athletic Footwear,40.00,900.00,360000.00,126000.00,0.35,Outlet
Sports Direct,1197831,8-8-2020,South,Texas,Houston,Women's Street Footwear,35.00,725.00,253750.00,88813.00,0.35,Outlet
Sports Direct,1197831,9-8-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,625.00,250000.00,112500.00,0.45,Outlet
Walmart,1197831,10-8-2020,South,Texas,Houston,Men's Apparel,45.00,525.00,236250.00,70875.00,0.30,Outlet
Walmart,1197831,11-8-2020,South,Texas,Houston,Women's Apparel,40.00,800.00,320000.00,160000.00,0.50,Outlet
Walmart,1197831,12-8-2020,South,Texas,Houston,Men's Street Footwear,30.00,925.00,277500.00,97125.00,0.35,Outlet
Walmart,1197831,8-13-2020,South,Texas,Houston,Men's Athletic Footwear,40.00,925.00,370000.00,129500.00,0.35,Outlet
Walmart,1197831,8-14-2020,South,Texas,Houston,Women's Street Footwear,35.00,775.00,271250.00,94938.00,0.35,Outlet
Walmart,1197831,8-15-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700.00,280000.00,126000.00,0.45,Outlet
Walmart,1197831,8-16-2020,South,Texas,Houston,Men's Apparel,45.00,600.00,270000.00,81000.00,0.30,Outlet
Walmart,1197831,8-17-2020,South,Texas,Houston,Women's Apparel,40.00,950.00,380000.00,190000.00,0.50,Outlet
Walmart,1197831,8-18-2020,South,Texas,Houston,Men's Street Footwear,40.00,950.00,380000.00,133000.00,0.35,Outlet
Walmart,1197831,8-19-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950.00,427500.00,149625.00,0.35,Outlet
Walmart,1197831,8-20-2020,South,Texas,Houston,Women's Street Footwear,40.00,800.00,320000.00,112000.00,0.35,Outlet
Walmart,1197831,8-21-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,750.00,300000.00,135000.00,0.45,Outlet
Walmart,1197831,8-22-2020,South,Texas,Houston,Men's Apparel,45.00,650.00,292500.00,87750.00,0.30,Outlet
Walmart,1197831,8-23-2020,South,Texas,Houston,Women's Apparel,50.00,1000.00,500000.00,250000.00,0.50,Outlet
Walmart,1197831,8-24-2020,South,Texas,Houston,Men's Street Footwear,40.00,950.00,380000.00,133000.00,0.35,Outlet
Walmart,1197831,8-25-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950.00,427500.00,149625.00,0.35,Outlet
Walmart,1197831,8-26-2020,South,Texas,Houston,Women's Street Footwear,40.00,1100.00,440000.00,154000.00,0.35,Outlet
Walmart,1197831,8-27-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700.00,280000.00,126000.00,0.45,Outlet
Walmart,1197831,8-28-2020,South,Texas,Houston,Men's Apparel,45.00,700.00,315000.00,94500.00,0.30,Outlet
Walmart,1197831,8-29-2020,South,Texas,Houston,Women's Apparel,50.00,975.00,487500.00,243750.00,0.50,Outlet
Walmart,1197831,8-30-2020,South,Texas,Houston,Men's Street Footwear,40.00,925.00,370000.00,129500.00,0.35,Outlet
Walmart,1197831,8-31-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,925.00,416250.00,145688.00,0.35,Outlet
Walmart,1197831,1-9-2020,South,Texas,Houston,Women's Street Footwear,40.00,1100.00,440000.00,154000.00,0.35,Outlet
Walmart,1197831,2-9-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,650.00,260000.00,117000.00,0.45,Outlet
Walmart,1197831,3-9-2020,South,Texas,Houston,Men's Apparel,45.00,650.00,292500.00,87750.00,0.30,Outlet
Walmart,1197831,4-9-2020,South,Texas,Houston,Women's Apparel,50.00,900.00,450000.00,225000.00,0.50,Outlet
Walmart,1197831,5-9-2020,South,Texas,Houston,Men's Street Footwear,45.00,850.00,382500.00,133875.00,0.35,Outlet
Walmart,1197831,6-9-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,850.00,382500.00,133875.00,0.35,Outlet
Walmart,1197831,7-9-2020,South,Texas,Houston,Women's Street Footwear,50.00,900.00,450000.00,157500.00,0.35,Outlet
Walmart,1197831,8-9-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625.00,312500.00,140625.00,0.45,Outlet
Walmart,1197831,9-9-2020,South,Texas,Houston,Men's Apparel,45.00,625.00,281250.00,84375.00,0.30,Outlet
Walmart,1197831,10-9-2020,South,Texas,Houston,Women's Apparel,55.00,850.00,467500.00,233750.00,0.50,Outlet
Walmart,1197831,11-9-2020,South,Texas,Houston,Men's Street Footwear,45.00,800.00,360000.00,126000.00,0.35,Outlet
Walmart,1197831,12-9-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,800.00,360000.00,126000.00,0.35,Outlet
Walmart,1197831,9-13-2020,South,Texas,Houston,Women's Street Footwear,50.00,750.00,375000.00,131250.00,0.35,Outlet
Walmart,1197831,9-14-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,600.00,300000.00,135000.00,0.45,Outlet
Walmart,1197831,9-15-2020,South,Texas,Houston,Men's Apparel,45.00,575.00,258750.00,77625.00,0.30,Outlet
Walmart,1197831,9-16-2020,South,Texas,Houston,Women's Apparel,55.00,750.00,412500.00,206250.00,0.50,Outlet
Walmart,1197831,10-20-2020,South,Texas,Houston,Men's Street Footwear,45.00,900.00,405000.00,141750.00,0.35,Outlet
Walmart,1197831,10-21-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,900.00,405000.00,141750.00,0.35,Outlet
Walmart,1197831,10-22-2020,South,Texas,Houston,Women's Street Footwear,50.00,825.00,412500.00,144375.00,0.35,Outlet
Walmart,1197831,10-23-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,675.00,337500.00,151875.00,0.45,Outlet
Walmart,1197831,10-24-2020,South,Texas,Houston,Men's Apparel,45.00,650.00,292500.00,87750.00,0.30,Outlet
Walmart,1197831,10-25-2020,South,Texas,Houston,Women's Apparel,55.00,850.00,467500.00,233750.00,0.50,Outlet
Walmart,1197831,10-26-2020,South,Texas,Houston,Men's Street Footwear,45.00,950.00,427500.00,149625.00,0.35,Outlet
Walmart,1197831,10-27-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950.00,427500.00,149625.00,0.35,Outlet
Walmart,1197831,10-28-2020,South,Texas,Houston,Women's Street Footwear,50.00,850.00,425000.00,148750.00,0.35,Outlet
Walmart,1197831,10-29-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,700.00,350000.00,157500.00,0.45,Outlet
Walmart,1197831,10-30-2020,South,Texas,Houston,Men's Apparel,45.00,650.00,292500.00,87750.00,0.30,Outlet
Walmart,1197831,10-31-2020,South,Texas,Houston,Women's Apparel,55.00,900.00,495000.00,247500.00,0.50,Outlet
West Gear,1128299,1-11-2020,South,Texas,Houston,Men's Street Footwear,40.00,775.00,310000.00,108500.00,0.35,Outlet
West Gear,1128299,2-11-2020,South,Texas,Houston,Men's Athletic Footwear,50.00,775.00,387500.00,77500.00,0.20,Outlet
West Gear,1128299,3-11-2020,South,Texas,Houston,Women's Street Footwear,50.00,775.00,387500.00,135625.00,0.35,Outlet
West Gear,1128299,4-11-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625.00,312500.00,93750.00,0.30,Outlet
West Gear,1128299,5-11-2020,West,California,San Francisco,Men's Apparel,55.00,575.00,316250.00,158125.00,0.50,Outlet
West Gear,1128299,6-11-2020,West,California,San Francisco,Women's Apparel,50.00,775.00,387500.00,58125.00,0.15,Outlet
West Gear,1128299,7-11-2020,West,California,San Francisco,Men's Street Footwear,40.00,825.00,330000.00,115500.00,0.35,Outlet
West Gear,1128299,8-11-2020,West,California,San Francisco,Men's Athletic Footwear,50.00,725.00,362500.00,72500.00,0.20,Outlet
West Gear,1128299,9-11-2020,West,California,San Francisco,Women's Street Footwear,50.00,725.00,362500.00,126875.00,0.35,Outlet
West Gear,1128299,10-11-2020,West,California,San Francisco,Women's Athletic Footwear,50.00,575.00,287500.00,86250.00,0.30,Outlet
West Gear,1128299,11-11-2020,West,California,San Francisco,Men's Apparel,55.00,500.00,275000.00,137500.00,0.50,Outlet
West Gear,1128299,12-11-2020,West,California,San Francisco,Women's Apparel,50.00,700.00,350000.00,52500.00,0.15,Outlet
West Gear,1128299,11-13-2020,West,California,San Francisco,Men's Street Footwear,50.00,850.00,425000.00,148750.00,0.35,Outlet
West Gear,1128299,11-14-2020,West,California,San Francisco,Men's Athletic Footwear,60.00,700.00,420000.00,84000.00,0.20,Outlet
West Gear,1128299,11-15-2020,West,California,San Francisco,Women's Street Footwear,60.00,700.00,420000.00,147000.00,0.35,Outlet
West Gear,1128299,12-22-2020,West,California,San Francisco,Women's Athletic Footwear,60.00,600.00,360000.00,108000.00,0.30,Outlet
West Gear,1128299,12-23-2020,West,California,San Francisco,Men's Apparel,65.00,500.00,325000.00,162500.00,0.50,Outlet
West Gear,1128299,12-24-2020,West,California,San Francisco,Women's Apparel,60.00,700.00,420000.00,63000.00,0.15,Outlet
West Gear,1128299,12-25-2020,West,California,San Francisco,Men's Street Footwear,60.00,875.00,525000.00,183750.00,0.35,Outlet
West Gear,1128299,12-26-2020,West,California,San Francisco,Men's Athletic Footwear,65.00,675.00,438750.00,87750.00,0.20,Outlet
West Gear,1128299,12-27-2020,West,California,San Francisco,Women's Street Footwear,65.00,725.00,471250.00,164938.00,0.35,Outlet
West Gear,1128299,12-28-2020,West,California,San Francisco,Women's Athletic Footwear,60.00,625.00,375000.00,112500.00,0.30,Outlet
West Gear,1128299,12-29-2020,West,California,San Francisco,Men's Apparel,65.00,525.00,341250.00,170625.00,0.50,Outlet
West Gear,1128299,12-30-2020,West,California,San Francisco,Women's Apparel,80.00,700.00,560000.00,84000.00,0.15,Outlet
West Gear,1128299,12-31-2020,West,California,San Francisco,Men's Street Footwear,60.00,900.00,540000.00,216000.00,0.40,Outlet
West Gear,1128299,1-1-2021,West,California,San Francisco,Men's Athletic Footwear,65.00,750.00,487500.00,121875.00,0.25,Outlet
West Gear,1128299,2-1-2021,West,California,San Francisco,Women's Street Footwear,65.00,750.00,487500.00,195000.00,0.40,Outlet
West Gear,1128299,3-1-2021,West,California,San Francisco,Women's Athletic Footwear,60.00,650.00,390000.00,136500.00,0.35,Outlet
West Gear,1128299,4-1-2021,West,California,San Francisco,Men's Apparel,65.00,550.00,357500.00,196625.00,0.55,Outlet
West Gear,1128299,5-1-2021,West,California,San Francisco,Women's Apparel,80.00,725.00,580000.00,116000.00,0.20,Outlet
West Gear,1128299,6-1-2021,West,California,San Francisco,Men's Street Footwear,60.00,975.00,585000.00,234000.00,0.40,Outlet
West Gear,1128299,7-1-2021,West,California,San Francisco,Men's Athletic Footwear,65.00,825.00,536250.00,134063.00,0.25,Outlet
West Gear,1128299,8-1-2021,West,California,San Francisco,Women's Street Footwear,65.00,825.00,536250.00,214500.00,0.40,Outlet
West Gear,1128299,9-1-2021,West,California,San Francisco,Women's Athletic Footwear,60.00,700.00,420000.00,147000.00,0.35,Outlet
West Gear,1128299,10-1-2021,West,California,San Francisco,Men's Apparel,65.00,575.00,373750.00,205563.00,0.55,Outlet
West Gear,1128299,11-1-2021,West,California,San Francisco,Women's Apparel,80.00,875.00,700000.00,140000.00,0.20,Outlet
West Gear,1128299,12-1-2021,West,California,San Francisco,Men's Street Footwear,60.00,1025.00,615000.00,215250.00,0.35,Outlet
West Gear,1128299,1-13-2021,West,California,San Francisco,Men's Athletic Footwear,65.00,875.00,568750.00,113750.00,0.20,Outlet
West Gear,1128299,1-14-2021,West,California,San Francisco,Women's Street Footwear,65.00,825.00,536250.00,187688.00,0.35,Outlet
West Gear,1128299,1-15-2021,West,California,San Francisco,Women's Athletic Footwear,60.00,725.00,435000.00,130500.00,0.30,Outlet
West Gear,1128299,1-16-2021,West,California,San Francisco,Men's Apparel,65.00,775.00,503750.00,251875.00,0.50,Outlet
West Gear,1128299,1-17-2021,West,California,San Francisco,Women's Apparel,80.00,775.00,620000.00,93000.00,0.15,Outlet
West Gear,1128299,1-18-2021,West,California,San Francisco,Men's Street Footwear,65.00,975.00,633750.00,221813.00,0.35,Outlet
West Gear,1128299,1-19-2021,West,California,San Francisco,Men's Athletic Footwear,70.00,925.00,647500.00,129500.00,0.20,Outlet
West Gear,1128299,1-20-2021,West,California,San Francisco,Women's Street Footwear,65.00,800.00,520000.00,182000.00,0.35,Outlet
West Gear,1128299,1-21-2021,West,California,San Francisco,Women's Athletic Footwear,65.00,750.00,487500.00,146250.00,0.30,Outlet
West Gear,1128299,1-22-2021,West,California,San Francisco,Men's Apparel,75.00,750.00,562500.00,281250.00,0.50,Outlet
West Gear,1128299,1-23-2021,West,California,San Francisco,Women's Apparel,80.00,725.00,580000.00,87000.00,0.15,Outlet
West Gear,1128299,1-24-2021,West,California,San Francisco,Men's Street Footwear,55.00,925.00,508750.00,152625.00,0.30,Outlet
West Gear,1128299,1-25-2021,West,California,San Francisco,Men's Athletic Footwear,60.00,925.00,555000.00,83250.00,0.15,Outlet
West Gear,1128299,1-26-2021,West,California,San Francisco,Women's Street Footwear,55.00,775.00,426250.00,127875.00,0.30,Outlet
West Gear,1128299,1-27-2021,West,California,San Francisco,Women's Athletic Footwear,55.00,725.00,398750.00,99688.00,0.25,Outlet
West Gear,1128299,1-28-2021,West,California,San Francisco,Men's Apparel,65.00,725.00,471250.00,212063.00,0.45,Outlet
West Gear,1128299,1-29-2021,West,California,San Francisco,Women's Apparel,70.00,775.00,542500.00,54250.00,0.10,Outlet
West Gear,1128299,1-30-2021,West,California,San Francisco,Men's Street Footwear,55.00,875.00,481250.00,144375.00,0.30,Outlet
West Gear,1128299,1-31-2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875.00,525000.00,78750.00,0.15,Outlet
West Gear,1128299,1-2-2021,West,California,San Francisco,Women's Street Footwear,55.00,700.00,385000.00,115500.00,0.30,Outlet
West Gear,1128299,2-2-2021,West,California,San Francisco,Women's Athletic Footwear,55.00,675.00,371250.00,92813.00,0.25,Outlet
West Gear,1128299,3-2-2021,West,California,San Francisco,Men's Apparel,65.00,650.00,422500.00,190125.00,0.45,Outlet
West Gear,1128299,4-2-2021,West,California,San Francisco,Women's Apparel,70.00,700.00,490000.00,49000.00,0.10,Outlet
West Gear,1128299,5-2-2021,West,California,San Francisco,Men's Street Footwear,55.00,875.00,481250.00,144375.00,0.30,Outlet
West Gear,1128299,6-2-2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875.00,525000.00,78750.00,0.15,Outlet
West Gear,1128299,7-2-2021,West,California,San Francisco,Women's Street Footwear,55.00,725.00,398750.00,119625.00,0.30,Outlet
West Gear,1128299,8-2-2021,West,California,San Francisco,Women's Athletic Footwear,55.00,700.00,385000.00,96250.00,0.25,Outlet
West Gear,1128299,9-2-2021,West,California,San Francisco,Men's Apparel,65.00,650.00,422500.00,190125.00,0.45,Outlet
West Gear,1128299,10-2-2021,West,California,San Francisco,Women's Apparel,70.00,775.00,542500.00,54250.00,0.10,Outlet
West Gear,1128299,11-2-2021,West,California,San Francisco,Men's Street Footwear,55.00,975.00,536250.00,160875.00,0.30,Outlet
West Gear,1128299,12-2-2021,West,California,San Francisco,Men's Athletic Footwear,60.00,975.00,585000.00,87750.00,0.15,Outlet
West Gear,1128299,2-13-2021,West,California,San Francisco,Women's Street Footwear,55.00,775.00,426250.00,127875.00,0.30,Outlet
West Gear,1128299,2-14-2021,West,California,San Francisco,Women's Athletic Footwear,55.00,775.00,426250.00,106563.00,0.25,Outlet
West Gear,1128299,2-15-2021,West,California,San Francisco,Men's Apparel,65.00,700.00,455000.00,204750.00,0.45,Outlet
West Gear,1128299,2-16-2021,West,California,San Francisco,Women's Apparel,70.00,800.00,560000.00,56000.00,0.10,Outlet
Kohl's,1189833,2-17-2021,West,California,San Francisco,Men's Street Footwear,35.00,700.00,245000.00,98000.00,0.40,Outlet
Kohl's,1189833,2-18-2021,West,California,San Francisco,Men's Athletic Footwear,45.00,700.00,315000.00,78750.00,0.25,Outlet
Kohl's,1189833,9-3-2021,West,California,San Francisco,Women's Street Footwear,45.00,700.00,315000.00,126000.00,0.40,Outlet
Kohl's,1189833,10-3-2021,West,California,San Francisco,Women's Athletic Footwear,45.00,550.00,247500.00,86625.00,0.35,Outlet
